X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,X_4,Y_4
16,0,16,0,16,0,16,0,16,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,0,8,0,8,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
192,0,192,0,192,0,192,0,192,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0
200,0,200,0,200,0,200,0,200,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
2,0,2,0,2,0,2,0,2,0
0,0,0,0,0,0,0,0,0,0
208,0,208,0,208,0,208,0,208,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
3,0,3,0,3,0,3,0,3,0
0,0,0,0,0,0,0,0,0,0
216,0,216,0,216,0,216,0,216,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,0,4,0,4,0
0,0,0,0,0,0,0,0,0,0
224,0,224,0,224,0,224,0,224,0
63,0,63,0,63,0,63,0,63,0
0,0,0,0,0,0,0,0,0,0
6,0,6,0,6,0,6,0,6,0
0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,0,5,0,5,0
0,0,0,0,0,0,0,0,0,0
243,0,243,0,243,0,243,0,243,0
15,0,15,0,15,0,15,0,15,0
30,0,30,0,30,0,30,0,30,0
250,0,250,0,250,0,250,0,250,0
72,0,72,0,72,0,72,0,72,0
131,0,131,0,131,0,131,0,131,0
236,0,236,0,236,0,236,0,236,0
8,0,8,0,8,0,8,0,8,0
72,0,72,0,72,0,72,0,72,0
139,0,139,0,139,0,139,0,139,0
5,0,5,0,5,0,5,0,5,0
193,0,193,0,193,0,193,0,193,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
133,0,133,0,133,0,133,0,133,0
192,0,192,0,192,0,192,0,192,0
116,0,116,0,116,0,116,0,116,0
2,0,2,0,2,0,2,0,2,0
255,0,255,0,255,0,255,0,255,0
208,0,208,0,208,0,208,0,208,0
72,0,72,0,72,0,72,0,72,0
131,0,131,0,131,0,131,0,131,0
196,0,196,0,196,0,196,0,196,0
8,0,8,0,8,0,8,0,8,0
195,0,195,0,195,0,195,0,195,0
0,0,0,0,0,0,0,0,0,0
243,0,243,0,243,0,243,0,243,0
15,0,15,0,15,0,15,0,15,0
30,0,30,0,30,0,30,0,30,0
250,0,250,0,250,0,250,0,250,0
49,0,49,0,49,0,49,0,49,0
237,0,237,0,237,0,237,0,237,0
73,0,73,0,73,0,73,0,73,0
137,0,137,0,137,0,137,0,137,0
209,0,209,0,209,0,209,0,209,0
94,0,94,0,94,0,94,0,94,0
72,0,72,0,72,0,72,0,72,0
137,0,137,0,137,0,137,0,137,0
226,0,226,0,226,0,226,0,226,0
72,0,72,0,72,0,72,0,72,0
131,0,131,0,131,0,131,0,131,0
228,0,228,0,228,0,228,0,228,0
240,0,240,0,240,0,240,0,240,0
80,0,80,0,80,0,80,0,80,0
84,0,84,0,84,0,84,0,84,0
69,0,69,0,69,0,69,0,69,0
49,0,49,0,49,0,49,0,49,0
192,0,192,0,192,0,192,0,192,0
49,0,49,0,49,0,49,0,49,0
201,0,201,0,201,0,201,0,201,0
72,0,72,0,72,0,72,0,72,0
141,0,141,0,141,0,141,0,141,0
61,0,61,0,61,0,61,0,61,0
218,0,218,0,218,0,218,0,218,0
0,0,0,0,0,0,0,0,0,0
255,0,255,0,255,0,255,0,255,0
21,0,21,0,21,0,21,0,21,0
123,0,123,0,123,0,123,0,123,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
244,0,244,0,244,0,244,0,244,0
102,0,102,0,102,0,102,0,102,0
46,0,46,0,46,0,46,0,46,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
132,0,132,0,132,0,132,0,132,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
141,0,141,0,141,0,141,0,141,0
61,0,61,0,61,0,61,0,61,0
185,0,185,0,185,0,185,0,185,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
141,0,141,0,141,0,141,0,141,0
5,0,5,0,5,0,5,0,5,0
178,0,178,0,178,0,178,0,178,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
57,0,57,0,57,0,57,0,57,0
248,0,248,0,248,0,248,0,248,0
116,0,116,0,116,0,116,0,116,0
21,0,21,0,21,0,21,0,21,0
72,0,72,0,72,0,72,0,72,0
139,0,139,0,139,0,139,0,139,0
5,0,5,0,5,0,5,0,5,0
94,0,94,0,94,0,94,0,94,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
133,0,133,0,133,0,133,0,133,0
192,0,192,0,192,0,192,0,192,0
116,0,116,0,116,0,116,0,116,0
9,0,9,0,9,0,9,0,9,0
255,0,255,0,255,0,255,0,255,0
224,0,224,0,224,0,224,0,224,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
128,0,128,0,128,0,128,0,128,0
0,0,0,0,0,0,0,0,0,0
195,0,195,0,195,0,195,0,195,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
128,0,128,0,128,0,128,0,128,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
141,0,141,0,141,0,141,0,141,0
61,0,61,0,61,0,61,0,61,0
137,0,137,0,137,0,137,0,137,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
141,0,141,0,141,0,141,0,141,0
53,0,53,0,53,0,53,0,53,0
130,0,130,0,130,0,130,0,130,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
41,0,41,0,41,0,41,0,41,0
254,0,254,0,254,0,254,0,254,0
72,0,72,0,72,0,72,0,72,0
137,0,137,0,137,0,137,0,137,0
240,0,240,0,240,0,240,0,240,0
72,0,72,0,72,0,72,0,72,0
193,0,193,0,193,0,193,0,193,0
238,0,238,0,238,0,238,0,238,0
63,0,63,0,63,0,63,0,63,0
72,0,72,0,72,0,72,0,72,0
193,0,193,0,193,0,193,0,193,0
248,0,248,0,248,0,248,0,248,0
3,0,3,0,3,0,3,0,3,0
72,0,72,0,72,0,72,0,72,0
1,0,1,0,1,0,1,0,1,0
198,0,198,0,198,0,198,0,198,0
72,0,72,0,72,0,72,0,72,0
209,0,209,0,209,0,209,0,209,0
254,0,254,0,254,0,254,0,254,0
116,0,116,0,116,0,116,0,116,0
20,0,20,0,20,0,20,0,20,0
72,0,72,0,72,0,72,0,72,0
139,0,139,0,139,0,139,0,139,0
5,0,5,0,5,0,5,0,5,0
45,0,45,0,45,0,45,0,45,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
133,0,133,0,133,0,133,0,133,0
192,0,192,0,192,0,192,0,192,0
116,0,116,0,116,0,116,0,116,0
8,0,8,0,8,0,8,0,8,0
255,0,255,0,255,0,255,0,255,0
224,0,224,0,224,0,224,0,224,0
102,0,102,0,102,0,102,0,102,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
68,0,68,0,68,0,68,0,68,0
0,0,0,0,0,0,0,0,0,0
195,0,195,0,195,0,195,0,195,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
128,0,128,0,128,0,128,0,128,0
0,0,0,0,0,0,0,0,0,0
243,0,243,0,243,0,243,0,243,0
15,0,15,0,15,0,15,0,15,0
30,0,30,0,30,0,30,0,30,0
250,0,250,0,250,0,250,0,250,0
128,0,128,0,128,0,128,0,128,0
61,0,61,0,61,0,61,0,61,0
69,0,69,0,69,0,69,0,69,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
117,0,117,0,117,0,117,0,117,0
51,0,51,0,51,0,51,0,51,0
85,0,85,0,85,0,85,0,85,0
72,0,72,0,72,0,72,0,72,0
131,0,131,0,131,0,131,0,131,0
61,0,61,0,61,0,61,0,61,0
10,0,10,0,10,0,10,0,10,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
72,0,72,0,72,0,72,0,72,0
137,0,137,0,137,0,137,0,137,0
229,0,229,0,229,0,229,0,229,0
116,0,116,0,116,0,116,0,116,0
13,0,13,0,13,0,13,0,13,0
72,0,72,0,72,0,72,0,72,0
139,0,139,0,139,0,139,0,139,0
61,0,61,0,61,0,61,0,61,0
38,0,38,0,38,0,38,0,38,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
255,0,255,0,255,0,255,0,255,0
21,0,21,0,21,0,21,0,21,0
248,0,248,0,248,0,248,0,248,0
46,0,46,0,46,0,46,0,46,0
0,0,0,0,0,0,0,0,0,0
232,0,232,0,232,0,232,0,232,0
99,0,99,0,99,0,99,0,99,0
255,0,255,0,255,0,255,0,255,0
255,0,255,0,255,0,255,0,255,0
255,0,255,0,255,0,255,0,255,0
198,0,198,0,198,0,198,0,198,0
5,0,5,0,5,0,5,0,5,0
28,0,28,0,28,0,28,0,28,0
47,0,47,0,47,0,47,0,47,0
0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,1,0
93,0,93,0,93,0,93,0,93,0
195,0,195,0,195,0,195,0,195,0
102,0,102,0,102,0,102,0,102,0
46,0,46,0,46,0,46,0,46,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
132,0,132,0,132,0,132,0,132,0
0,0,0,0,0,0,0,0,0,0
195,0,195,0,195,0,195,0,195,0
102,0,102,0,102,0,102,0,102,0
102,0,102,0,102,0,102,0,102,0
46,0,46,0,46,0,46,0,46,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
132,0,132,0,132,0,132,0,132,0
0,0,0,0,0,0,0,0,0,0
15,0,15,0,15,0,15,0,15,0
31,0,31,0,31,0,31,0,31,0
64,0,64,0,64,0,64,0,64,0
0,0,0,0,0,0,0,0,0,0
243,0,243,0,243,0,243,0,243,0
15,0,15,0,15,0,15,0,15,0
30,0,30,0,30,0,30,0,30,0
250,0,250,0,250,0,250,0,250,0
233,0,233,0,233,0,233,0,233,0
103,0,103,0,103,0,103,0,103,0
255,0,255,0,255,0,255,0,255,0
255,0,255,0,255,0,255,0,255,0
255,0,255,0,255,0,255,0,255,0
85,0,85,0,85,0,85,0,85,0
72,0,72,0,72,0,72,0,72,0
137,0,137,0,137,0,137,0,137,0
229,0,229,0,229,0,229,0,229,0
199,0,184,0,199,0,199,0,184,0
69,0,0,0,69,0,69,0,0,0
252,0,93,0,252,0,252,0,93,0
254,0,195,0,0,0,1,0,195,0
255,0,243,0,199,0,0,0,243,0
255,0,15,0,69,0,139,0,15,0
255,0,30,0,252,0,69,0,30,0
199,0,250,0,36,0,252,0,250,0
69,0,72,0,0,0,93,0,72,0
252,0,131,0,139,0,195,0,131,0
0,0,236,0,69,0,0,0,236,0
139,0,8,0,252,0,243,0,8,0
69,0,72,0,93,0,15,0,72,0
252,0,131,0,195,0,30,0,131,0
93,0,196,0,243,0,250,0,196,0
195,0,8,0,15,0,72,0,8,0
243,0,195,0,30,0,131,0,195,0
15,0,0,0,250,0,236,0,0,0
30,0,1,0,72,0,8,0,1,0
250,0,0,0,131,0,72,0,0,0
72,0,2,0,236,0,131,0,2,0
131,0,0,0,8,0,196,0,0,0
236,0,1,0,72,0,8,0,1,0
8,0,27,0,131,0,195,0,27,0
72,0,3,0,196,0,0,0,3,0
131,0,59,0,8,0,1,0,59,0
196,0,24,0,195,0,0,0,24,0
8,0,0,0,0,0,2,0,0,0
195,0,2,0,1,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0
1,0,28,0,2,0,27,0,28,0
0,0,240,0,0,0,3,0,240,0
2,0,255,0,1,0,59,0,255,0
0,0,255,0,27,0,24,0,255,0
1,0,52,0,3,0,0,0,52,0
27,0,0,0,59,0,2,0,0,0
3,0,21,0,24,0,0,0,21,0
59,0,241,0,0,0,28,0,241,0
24,0,255,0,2,0,240,0,255,0
0,0,255,0,0,0,255,0,255,0
2,0,76,0,28,0,255,0,76,0
0,0,0,0,240,0,52,0,0,0
28,0,20,0,255,0,0,0,20,0
240,0,0,0,255,0,21,0,0,0
255,0,1,0,52,0,241,0,1,0
255,0,122,0,0,0,255,0,122,0
52,0,82,0,21,0,255,0,82,0
0,0,0,0,241,0,76,0,0,0
21,0,1,0,255,0,0,0,1,0
241,0,120,0,255,0,20,0,120,0
255,0,16,0,76,0,0,0,16,0
255,0,1,0,0,0,1,0,1,0
76,0,27,0,20,0,122,0,27,0
0,0,12,0,0,0,82,0,12,0
20,0,7,0,1,0,0,0,7,0
0,0,8,0,122,0,1,0,8,0
1,0,144,0,82,0,120,0,144,0
122,0,1,0,0,0,16,0,1,0
82,0,0,0,1,0,1,0,0,0
0,0,20,0,120,0,27,0,20,0
1,0,0,0,16,0,12,0,0,0
120,0,28,0,1,0,7,0,28,0
16,0,0,0,27,0,8,0,0,0
1,0,224,0,12,0,144,0,224,0
27,0,239,0,7,0,1,0,239,0
12,0,255,0,8,0,0,0,255,0
7,0,255,0,144,0,20,0,255,0
8,0,38,0,1,0,0,0,38,0
144,0,0,0,0,0,28,0,0,0
1,0,68,0,20,0,0,0,68,0
0,0,7,0,0,0,224,0,7,0
20,0,16,0,28,0,239,0,16,0
0,0,0,0,0,0,255,0,0,0
28,0,28,0,224,0,255,0,28,0
0,0,0,0,239,0,38,0,0,0
224,0,52,0,255,0,0,0,52,0
239,0,0,0,255,0,68,0,0,0
255,0,193,0,38,0,7,0,193,0
255,0,240,0,0,0,16,0,240,0
38,0,255,0,68,0,0,0,255,0
0,0,255,0,7,0,28,0,255,0
68,0,11,0,16,0,0,0,11,0
7,0,0,0,0,0,52,0,0,0
16,0,65,0,28,0,0,0,65,0
0,0,14,0,0,0,193,0,14,0
28,0,16,0,52,0,240,0,16,0
0,0,134,0,0,0,255,0,134,0
52,0,2,0,193,0,255,0,2,0
0,0,67,0,240,0,16,0,67,0
193,0,13,0,255,0,0,0,13,0
240,0,6,0,255,0,65,0,6,0
255,0,70,0,23,0,14,0,70,0
255,0,12,0,0,0,16,0,12,0
23,0,7,0,65,0,134,0,7,0
0,0,8,0,14,0,2,0,8,0
65,0,0,0,16,0,67,0,0,0
14,0,16,0,134,0,13,0,16,0
16,0,17,0,2,0,6,0,17,0
134,0,0,0,67,0,75,0,0,0
2,0,192,0,13,0,12,0,192,0
67,0,16,0,6,0,7,0,16,0
13,0,0,0,82,0,8,0,0,0
6,0,1,0,12,0,0,0,1,0
82,0,0,0,7,0,16,0,0,0
12,0,34,0,8,0,17,0,34,0
7,0,0,0,0,0,0,0,0,0
8,0,12,0,16,0,192,0,12,0
0,0,0,0,17,0,16,0,0,0
16,0,16,0,0,0,0,0,16,0
17,0,0,0,192,0,1,0,0,0
0,0,13,0,16,0,0,0,13,0
192,0,0,0,0,0,34,0,0,0
16,0,36,0,1,0,0,0,36,0
0,0,17,0,0,0,12,0,17,0
1,0,0,0,34,0,0,0,0,0
0,0,25,0,0,0,16,0,25,0
34,0,0,0,12,0,0,0,0,0
0,0,16,0,0,0,13,0,16,0
12,0,62,0,16,0,0,0,62,0
0,0,0,0,0,0,44,0,0,0
16,0,27,0,13,0,17,0,27,0
0,0,0,0,0,0,0,0,0,0
13,0,8,0,48,0,25,0,8,0
0,0,0,0,17,0,0,0,0,0
48,0,26,0,0,0,16,0,26,0
17,0,0,0,25,0,62,0,0,0
0,0,24,0,0,0,0,0,24,0
25,0,62,0,16,0,27,0,62,0
0,0,0,0,62,0,0,0,0,0
16,0,28,0,0,0,8,0,28,0
62,0,0,0,27,0,0,0,0,0
0,0,8,0,0,0,26,0,8,0
27,0,0,0,8,0,0,0,0,0
0,0,245,0,0,0,24,0,245,0
8,0,254,0,26,0,62,0,254,0
0,0,255,0,0,0,0,0,255,0
26,0,111,0,24,0,28,0,111,0
0,0,0,0,62,0,0,0,0,0
24,0,192,0,0,0,8,0,192,0
62,0,3,0,28,0,0,0,3,0
0,0,0,0,0,0,245,0,0,0
28,0,5,0,8,0,254,0,5,0
0,0,0,0,0,0,255,0,0,0
8,0,112,0,245,0,111,0,112,0
0,0,4,0,254,0,0,0,4,0
245,0,0,0,255,0,192,0,0,0
254,0,6,0,111,0,3,0,6,0
255,0,0,0,0,0,0,0,0,0
111,0,224,0,192,0,5,0,224,0
0,0,3,0,3,0,0,0,3,0
192,0,0,0,0,0,112,0,0,0
3,0,10,0,5,0,4,0,10,0
0,0,0,0,0,0,0,0,0,0
5,0,136,0,112,0,6,0,136,0
0,0,0,0,4,0,0,0,0,0
112,0,11,0,0,0,224,0,11,0
4,0,0,0,6,0,3,0,0,0
0,0,24,0,0,0,0,0,24,0
6,0,0,0,224,0,10,0,0,0
0,0,21,0,3,0,0,0,21,0
224,0,0,0,0,0,136,0,0,0
3,0,7,0,10,0,0,0,7,0
0,0,0,0,0,0,11,0,0,0
10,0,56,0,136,0,0,0,56,0
0,0,5,0,0,0,24,0,5,0
136,0,0,0,11,0,0,0,0,0
0,0,8,0,0,0,21,0,8,0
11,0,0,0,24,0,0,0,0,0
0,0,192,0,0,0,7,0,192,0
24,0,0,0,21,0,0,0,0,0
0,0,9,0,0,0,56,0,9,0
21,0,0,0,7,0,5,0,0,0
0,0,24,0,0,0,0,0,24,0
7,0,0,0,56,0,8,0,0,0
0,0,251,0,5,0,0,0,251,0
56,0,255,0,0,0,192,0,255,0
5,0,255,0,8,0,0,0,255,0
0,0,111,0,0,0,9,0,111,0
8,0,0,0,192,0,0,0,0,0
0,0,8,0,0,0,24,0,8,0
192,0,0,0,9,0,0,0,0,0
0,0,254,0,0,0,251,0,254,0
9,0,255,0,24,0,255,0,255,0
0,0,255,0,0,0,255,0,255,0
24,0,111,0,251,0,111,0,111,0
0,0,0,0,255,0,0,0,0,0
251,0,8,0,255,0,8,0,8,0
255,0,5,0,111,0,0,0,5,0
255,0,0,0,0,0,254,0,0,0
111,0,255,0,8,0,255,0,255,0
0,0,255,0,0,0,255,0,255,0
8,0,255,0,254,0,111,0,255,0
0,0,111,0,255,0,0,0,111,0
254,0,0,0,255,0,8,0,0,0
255,0,1,0,111,0,5,0,1,0
255,0,0,0,0,0,0,0,0,0
111,0,240,0,8,0,255,0,240,0
0,0,255,0,5,0,255,0,255,0
8,0,255,0,0,0,255,0,255,0
5,0,111,0,255,0,111,0,111,0
0,0,0,0,255,0,0,0,0,0
255,0,248,0,255,0,1,0,248,0
255,0,4,0,111,0,0,0,4,0
255,0,0,0,0,0,240,0,0,0
111,0,249,0,1,0,255,0,249,0
0,0,255,0,0,0,255,0,255,0
1,0,255,0,240,0,111,0,255,0
0,0,111,0,255,0,0,0,111,0
240,0,0,0,255,0,248,0,0,0
255,0,3,0,111,0,4,0,3,0
255,0,0,0,0,0,0,0,0,0
111,0,32,0,248,0,249,0,32,0
0,0,62,0,4,0,255,0,62,0
248,0,0,0,0,0,255,0,0,0
4,0,8,0,249,0,111,0,8,0
0,0,64,0,255,0,0,0,64,0
249,0,0,0,255,0,3,0,0,0
255,0,71,0,111,0,0,0,71,0
255,0,67,0,0,0,32,0,67,0
111,0,67,0,3,0,62,0,67,0
0,0,58,0,0,0,0,0,58,0
3,0,32,0,32,0,8,0,32,0
0,0,40,0,62,0,64,0,40,0
32,0,71,0,0,0,0,0,71,0
62,0,78,0,8,0,71,0,78,0
0,0,85,0,64,0,67,0,85,0
8,0,41,0,0,0,67,0,41,0
64,0,32,0,71,0,58,0,32,0
0,0,49,0,67,0,32,0,49,0
71,0,52,0,67,0,40,0,52,0
67,0,46,0,58,0,71,0,46,0
67,0,50,0,32,0,78,0,50,0
58,0,46,0,40,0,85,0,46,0
32,0,49,0,71,0,41,0,49,0
40,0,32,0,78,0,32,0,32,0
71,0,50,0,85,0,49,0,50,0
78,0,48,0,41,0,52,0,48,0
85,0,50,0,32,0,46,0,50,0
41,0,52,0,49,0,50,0,52,0
32,0,48,0,52,0,46,0,48,0
49,0,56,0,46,0,49,0,56,0
52,0,48,0,50,0,32,0,48,0
46,0,53,0,46,0,50,0,53,0
50,0,0,0,49,0,48,0,0,0
46,0,1,0,32,0,50,0,1,0
49,0,0,0,50,0,52,0,0,0
32,0,4,0,48,0,48,0,4,0
50,0,0,0,50,0,56,0,0,0
48,0,241,0,52,0,48,0,241,0
50,0,255,0,48,0,53,0,255,0
52,0,0,0,56,0,0,0,0,0
48,0,4,0,48,0,1,0,4,0
56,0,0,0,53,0,0,0,0,0
48,0,241,0,0,0,4,0,241,0
53,0,255,0,1,0,0,0,255,0
0,0,0,0,0,0,241,0,0,0
1,0,5,0,4,0,255,0,5,0
0,0,0,0,0,0,0,0,0,0
4,0,1,0,241,0,4,0,1,0
0,0,0,0,255,0,0,0,0,0
241,0,19,0,0,0,241,0,19,0
255,0,0,0,4,0,255,0,0,0
0,0,32,0,0,0,0,0,32,0
4,0,62,0,241,0,5,0,62,0
0,0,0,0,255,0,0,0,0,0
241,0,14,0,0,0,1,0,14,0
255,0,0,0,5,0,0,0,0,0
0,0,15,0,0,0,19,0,15,0
5,0,0,0,1,0,0,0,0,0
0,0,4,0,0,0,32,0,4,0
1,0,32,0,19,0,62,0,32,0
0,0,0,0,0,0,0,0,0,0
19,0,33,0,32,0,14,0,33,0
0,0,0,0,62,0,0,0,0,0
32,0,1,0,0,0,15,0,1,0
62,0,0,0,14,0,0,0,0,0
0,0,21,0,0,0,4,0,21,0
14,0,0,0,15,0,32,0,0,0
